phase,server_accepted_observed_to_stop_s,auto_wait_to_applied_s,date1_s,date2_s,screen_request_to_ready_s,screen_click_to_ready_s,calendar_get_ms,calendar_bytes,dates,series,sets,stop
before-1,44.332683871,35.155040958,1.329861433000012,1.5194830200000027,46.2365,46.237399999976155,595.3999999761581,19701,2,1,3,PLAYER_MATCH
before-2,49.556135059,38.222196401,1.7338326500000036,1.9402965999999964,53.95959999999404,53.9605,678.8000000119209,19701,2,1,3,PLAYER_MATCH
after-1,42.908307238,32.979258512,1.1312824600000013,1.6298200600000001,44.91490000000596,44.91540000000596,586.4000000059605,19701,2,1,3,PLAYER_MATCH
after-2,43.051346234,32.961214079,1.126398899999998,1.5206973099999956,46.747,46.74770000001788,678.7000000178814,19701,2,1,3,PLAYER_MATCH
