kind,blue,red,seed,game,durationSeconds,kills,firstKillSeconds,firstKillSource,winner,endReason,baseReturn,baseDefense,grubs,herald,heraldCharges,initialBlue,initialRed,finalBlue,finalRed,draftIdentity,outputHash,executionSeconds
fresh,GEN,HLE,91008051,1,2020,17,240,ROAM,BLUE,NEXUS_DESTROYED,33,1,3,1,3,POKE_SIEGE,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,c50d125b5769d85970c065ff7b05ba0edacf391afe0e0eaa2d8b8f5533fc9ede,67a662cca755f56329bf97f08ec5ad026a4dd6fdf672f73918afb7716fd2ba21,6.786
fresh,GEN,HLE,91008067,1,1830,24,60,SKIRMISH,RED,NEXUS_DESTROYED,22,1,3,1,3,PICK_CONTROL,POKE_SIEGE,PICK_CONTROL,PICK_CONTROL,ab4b4c5e6fd4a85bef3e72cc3aaf9d92e98ebbad3225101759ab1f5022e2d46b,14061c1465d29185958f38ed8e03da9e65b4ae4a2b9e0a9f1e907e1bfdf36921,6.689
fresh,GEN,HLE,91008081,1,1780,18,160,SKIRMISH,BLUE,NEXUS_DESTROYED,23,1,3,1,3,DIVE,DIVE,DIVE,PICK_CONTROL,1d1bf9685a07bf1e6d59a8218349647e712ebc85eb9b8cde7ab7fc36647fc98c,55027f5a804981cbae2f8cfdf2351334424fefd52ac2f347d3146685e370478e,5.831
fresh,GEN,HLE,91008097,1,2600,42,140,SKIRMISH,RED,NEXUS_DESTROYED,64,8,3,1,3,POKE_SIEGE,FRONT_TO_BACK,POKE_SIEGE,FRONT_TO_BACK,e8432abccf43fd284baa5a637b90c6f469a98c4ec63a4c270949b252b9123c28,35de4d327e6f7f28eb36e29aa2fcea606b519cea650437ba6de9733e59479032,6.804
fresh,GEN,HLE,91008113,1,2650,38,210,SKIRMISH,RED,NEXUS_DESTROYED,67,5,3,1,3,DIVE,POKE_SIEGE,DIVE,POKE_SIEGE,caaff411317cf1031a346f3808a1abfe87be64d42c4316e814e617d923944977,91478951b9911210ad8818781499817cc1737bebfc942f6605dbd957e1deb6bc,5.357
fresh,KT,DK,91008011,1,1640,24,250,SKIRMISH,RED,NEXUS_DESTROYED,39,1,3,1,3,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,b14ebff6bf8950eb627bdc5a310de03ebf4b561ab0d8842c934c514abf5e1f7c,fce3f49167e4f781e7c98071fa16cb457c088fd9aecd85dcec38ccbfd13a4a0c,4.914
fresh,KT,DK,91008023,1,2470,30,60,SKIRMISH,RED,NEXUS_DESTROYED,67,4,3,1,3,POKE_SIEGE,POKE_SIEGE,PICK_CONTROL,POKE_SIEGE,795f9a8a4dc294dac7f425559886dd88b7221144a70d25c63be694dd1eb4187e,8fb9e55cf7448609c420876c742aca79d80574228f3421405e475cd3d9392f2f,5.648
fresh,KT,DK,91008037,1,1510,9,570,SKIRMISH,RED,NEXUS_DESTROYED,20,1,3,1,3,POKE_SIEGE,POKE_SIEGE,PICK_CONTROL,POKE_SIEGE,fb1eb28786ae997c5788b5db69ed79f468b49d231a2ea9c26094d2e1f81f2f00,59024186022436aea2a19561703e885ca78b39ab34c445d5d3138390c314c134,5.869
fresh,KT,DK,91008051,1,1710,24,240,ROAM,RED,NEXUS_DESTROYED,28,1,3,1,3,FRONT_TO_BACK,POKE_SIEGE,FRONT_TO_BACK,POKE_SIEGE,9ad945366725f311b90efc3f318e540ae764886b65f6a2a25cadc1c218eac7e2,857740d2823a6ad714ac6d921a57376ae4c275fd7a6ef8132373d6d6bf6cd8be,4.933
fresh,KT,DK,91008067,1,1630,14,60,SKIRMISH,BLUE,NEXUS_DESTROYED,22,2,3,1,3,PICK_CONTROL,PICK_CONTROL,FRONT_TO_BACK,FRONT_TO_BACK,0ba5ac99ee5c9d14f3e335c054589ed090526f898a5595d740f3ae6d817c0846,b492588afc2bb7e32d26bb48dfecf88b30825580b406c4dc86b4378325bdb279,6.0
