kind,blue,red,game,seed,durationSeconds,duration,winner,kills,firstBloodSeconds,loserAlive,blueLineup_TOP_JG_MID_ADC_SUP,redLineup_TOP_JG_MID_ADC_SUP,blueBans,redBans,exclusionCount,bluePreferredPlan,redPreferredPlan,inputHash,outputHash,draftIdentity
fresh,KT,DK,1,91008023,1430,23:50,RED,9,40,5,jayce / pantheon / syndra / ziggs / bard,rumble / poppy / orianna / varus / seraphine,camille|wukong|jarvan-iv|xin-zhao|azir,nautilus|nocturne|vi|neeko|rakan,0,PICK_CONTROL,POKE_SIEGE,777752ffbd7e277aff775ccfaa36980a1d25d133341f0c2ae79e3a0095766f04,204f37cd8e4e874e005441227de280aa313415c4325299d9f004acd8874d7e23,207b4c44ca38fa19ee54eee7ebc4ab965d08542b20aab679f51fdfd73d04bdf7
fresh,KT,DK,1,91008037,2600,43:20,BLUE,27,140,2,jayce / xin-zhao / orianna / ziggs / neeko,rumble / poppy / ryze / varus / seraphine,camille|wukong|vi|azir|syndra,nautilus|nocturne|jarvan-iv|ambessa|ksante,0,POKE_SIEGE,PICK_CONTROL,81fc7e5a49ad6180ca0e96954edcfe7c60bf16a5bb33bb554050d87dd35b1d1c,f86138955d36a53dc80b84dfcd26b5756964d102257e9f8c01e3e686346e84a3,9bbcc7f798e65734324ada3cfabbc815c8929e33c6f6f2cfa0205536f8ad700b
fresh,KT,DK,1,91008051,2230,37:10,BLUE,23,110,1,gnar / xin-zhao / syndra / seraphine / neeko,varus / jayce / ziggs / ezreal / karma,jarvan-iv|vi|wukong|ambessa|orianna,nautilus|camille|nocturne|poppy|rakan,0,PICK_CONTROL,POKE_SIEGE,693b91c7bcb89c90ddd41fcfda9c788beb62379d9ba403b7c7afadd8477e74e3,75f443e65068196d6d05ab15ac79bfaad1e1dc38bc120c7e1813d37901949fac,59b9e2a0624f62c125e6e071d2aed5e313ec487a3ac086d23bd2fedea743adb5
fresh,KT,DK,1,91008067,1560,26:00,RED,18,40,3,gnar / nocturne / syndra / seraphine / bard,varus / jayce / ziggs / ezreal / poppy,jarvan-iv|vi|wukong|orianna|xin-zhao,nautilus|camille|ambessa|rell|rakan,0,PICK_CONTROL,POKE_SIEGE,103b93a17f59f871f1eadf19c818761edbcc8474b94a9d6666c95965387c5a84,6269bde3cc99ed8cd47ad8173eff62e62a95d1db868b69ea29eb8021bb3a5972,47817942d5e950b15e3a41aed8cef7a0c6bc12f2b37e603ed4f6fc8c55087f9a
fresh,KT,DK,1,91008081,1870,31:10,RED,23,240,3,gnar / poppy / syndra / seraphine / karma,jayce / xin-zhao / ziggs / varus / neeko,jarvan-iv|camille|nocturne|ambessa|orianna,vi|nautilus|rakan|pantheon|lee-sin,0,POKE_SIEGE,POKE_SIEGE,f36e58c9d74ae391014de00e531ab7f81680f18c3b63d97cfb9dbd4fb7e93455,8df0b6398301a20bac821be158547454cffa03a844bd243c93e35bde585e1a1c,b1511c29b08d5cbee7725319715a912d0cac22b6bf6992c56e45ea567e86ede3
fresh,KT,DK,1,91008097,2010,33:30,RED,20,60,1,rumble / pantheon / syndra / seraphine / bard,varus / jayce / ziggs / ezreal / karma,camille|wukong|nocturne|ambessa|orianna,jarvan-iv|vi|nautilus|poppy|neeko,0,PICK_CONTROL,POKE_SIEGE,303c3e7f8507e6c6c169db290a75df914477a6e01de20b679074d8f933fa5b07,a27dcffb98b4824a2481daabc540cb21ce62c58a6b4ca638d5c2fa1098558daf,081d9613d6ae4ac3e9613790d8cf8156f6faa813a96b17fc080cf1eaee63242a
fresh,KT,DK,1,91008113,2670,44:30,RED,29,20,5,gnar / poppy / syndra / seraphine / bard,jayce / lee-sin / ziggs / varus / karma,camille|vi|nocturne|rumble|azir,nautilus|jarvan-iv|ambessa|pantheon|wukong,0,PICK_CONTROL,POKE_SIEGE,90ac0de2fd508bcfefb94f6c34c6694801b4504785ee43d49cdb9b907a597f06,1cb7394564bf1a02ec9e5835886ca4f8a09f474210210571c1b6b979a08e79c9,57fd0b8e526d2b21e8c66aaeb899461ae8ed0f745348b4b089c636dba1c8aaf0
fresh,DK,KT,1,91008011,1460,24:20,BLUE,13,30,5,jayce / xin-zhao / orianna / taliyah / poppy,rumble / lee-sin / cassiopeia / varus / neeko,vi|camille|nocturne|pantheon|azir,jarvan-iv|nautilus|wukong|ambessa|gnar,0,PICK_CONTROL,PICK_CONTROL,73b00d6f225c1795cd9692ee829915985361ed3d3995375a44862d5d93942804,4a0c04eb1612ed8efc43b8f024758c8b25ac92d2625cb623cecea4c63d76ea0f,5ca67de39be98e77f7fdf57745980745a904df89d6130f12660d3a4359c4afd6
fresh,DK,KT,1,91008023,1460,24:20,BLUE,21,40,3,jayce / xin-zhao / orianna / ziggs / poppy,rumble / lee-sin / cassiopeia / varus / neeko,jarvan-iv|camille|nautilus|azir|pantheon,vi|nocturne|wukong|shen|gnar,0,PICK_CONTROL,PICK_CONTROL,16fa693f99c7af8ce0e71d54be4b37316d824bf69f7d828fbca1fb82b879945f,ebe30e18e60539f519522d15cf7fb9268dde0611067fa34f8dc2505bb34d6b12,21d7137cf2aef27c6fe3f4c137630c7ef04b841bb9b2c1e75a480ad930c7a66a
fresh,DK,KT,1,91008037,2790,46:30,BLUE,26,140,5,rumble / poppy / orianna / ezreal / seraphine,jayce / pantheon / cassiopeia / varus / neeko,nautilus|nocturne|camille|ambessa|akali,vi|jarvan-iv|wukong|lee-sin|xin-zhao,0,POKE_SIEGE,PICK_CONTROL,89c3ed18c9f371ab1a5ab8d207cb58b33ca155964bd8d5ae5c2a559d424885fb,0ae3f8697a46d81e4336fc73d62643e293075288028265a93a80803f903d51a1,ac32f70ac54a060752e950bf620dca52189f151c64a65d9e3166789736f5759e
