scenario,time,side,position,n,avgLevel,p10,p50,p90,avgXp,avgGold,starting,component,first,second,third,fourth,full,levelPower,itemPower,totalPower
G,1500,RED,TOP,555,13.045045,13,13,13,10758.216216,7264.636036,0,0,239,315,1,0,0,1.445405,1.307117,2.752523
G,1800,BLUE,ADC,255,12.807843,12,13,13,10451.647059,9029.011765,0,0,0,234,21,0,0,1.416941,1.724118,3.141059
G,1800,BLUE,JUNGLE,255,13.298039,13,13,14,11112.352941,8241.129412,0,0,30,221,4,0,0,1.475765,1.570000,3.045765
G,1800,BLUE,MID,255,14.407843,14,14,15,12861.647059,9066.423529,0,0,0,224,31,0,0,1.608941,1.759412,3.368353
G,1800,BLUE,SUPPORT,255,12.996078,12,13,14,10631.215686,4869.090196,0,12,236,7,0,0,0,1.439529,0.843725,2.283255
G,1800,BLUE,TOP,255,14.427451,14,14,15,12928.745098,8936.580392,0,0,0,234,21,0,0,1.611294,1.724118,3.335412
G,1800,RED,ADC,255,12.835294,12,13,13,10465.631373,9076.384314,0,0,0,227,28,0,0,1.420235,1.748824,3.169059
G,1800,RED,JUNGLE,255,13.290196,13,13,14,11075.764706,8175.913725,0,0,30,224,1,0,0,1.474824,1.559412,3.034235
G,1800,RED,MID,255,14.376471,14,14,15,12847.137255,9013.090196,0,0,2,229,24,0,0,1.605176,1.728431,3.333608
G,1800,RED,SUPPORT,255,12.976471,12,13,14,10649.317647,4870.972549,0,15,232,8,0,0,0,1.437176,0.839804,2.276980
G,1800,RED,TOP,255,14.431373,14,14,15,12894.941176,8903.325490,0,0,2,237,16,0,0,1.611765,1.700196,3.311961
G,2400,BLUE,ADC,17,14.764706,14,15,16,13457.529412,11855.235294,0,0,0,1,15,1,0,1.651765,2.550000,4.201765
G,2400,BLUE,JUNGLE,17,15.294118,15,15,16,14394.705882,11000.529412,0,0,0,7,10,0,0,1.715294,2.179412,3.894706
G,2400,BLUE,MID,17,16.411765,16,16,17,16665.882353,11991.705882,0,0,0,2,14,1,0,1.849412,2.497059,4.346471
G,2400,BLUE,SUPPORT,17,14.941176,14,15,16,13868.705882,6473.470588,0,0,12,5,0,0,0,1.672941,1.085294,2.758235
G,2400,BLUE,TOP,17,16.705882,16,17,17,16915.882353,12034.647059,0,0,0,0,16,1,0,1.884706,2.602941,4.487647
G,2400,RED,ADC,17,15.058824,14,15,16,13988.470588,12386.117647,0,0,0,2,13,2,0,1.687059,2.550000,4.237059
G,2400,RED,JUNGLE,17,15.647059,15,16,16,14952.352941,11379.647059,0,0,0,5,12,0,0,1.757647,2.285294,4.042941
G,2400,RED,MID,17,16.882353,16,17,18,17065.294118,12280.235294,0,0,0,2,11,4,0,1.905882,2.655882,4.561765
G,2400,RED,SUPPORT,17,15.294118,15,15,16,14415.529412,7037.882353,0,0,8,9,0,0,0,1.715294,1.273529,2.988824
G,2400,RED,TOP,17,17.000000,17,17,17,17458.823529,12477.882353,0,0,0,1,15,1,0,1.920000,2.550000,4.470000
G,300,BLUE,ADC,1000,4.386000,4,4,5,1722.016000,1250.650000,518,482,0,0,0,0,0,0.406320,0.120500,0.526820
G,300,BLUE,JUNGLE,1000,4.916000,5,5,5,1840.470000,1107.950000,740,260,0,0,0,0,0,0.469920,0.065000,0.534920
G,300,BLUE,MID,1000,5.036000,5,5,5,2160.320000,1264.350000,509,491,0,0,0,0,0,0.484320,0.122750,0.607070
G,300,BLUE,SUPPORT,1000,4.452000,4,4,5,1758.236000,537.000000,996,4,0,0,0,0,0,0.414240,0.001000,0.415240
G,300,BLUE,TOP,1000,5.030000,5,5,5,2142.660000,1231.890000,572,428,0,0,0,0,0,0.483600,0.107000,0.590600
G,300,RED,ADC,1000,4.406000,4,4,5,1725.632000,1260.020000,504,496,0,0,0,0,0,0.408720,0.124000,0.532720
G,300,RED,JUNGLE,1000,4.921000,5,5,5,1842.510000,1109.250000,738,262,0,0,0,0,0,0.470520,0.065500,0.536020
G,300,RED,MID,1000,5.035000,5,5,5,2152.930000,1252.750000,515,485,0,0,0,0,0,0.484200,0.121250,0.605450
G,300,RED,SUPPORT,1000,4.444000,4,4,5,1759.492000,537.600000,998,2,0,0,0,0,0,0.413280,0.000500,0.413780
G,300,RED,TOP,1000,5.031000,5,5,5,2145.700000,1235.560000,563,437,0,0,0,0,0,0.483720,0.109250,0.592970
G,600,BLUE,ADC,1000,6.954000,7,7,7,3451.906000,2616.355000,0,990,10,0,0,0,0,0.714480,0.256000,0.970480
G,600,BLUE,JUNGLE,1000,7.018000,7,7,7,3666.960000,2325.965000,0,1000,0,0,0,0,0,0.722160,0.250000,0.972160
G,600,BLUE,MID,1000,7.957000,8,8,8,4300.070000,2634.505000,0,991,9,0,0,0,0,0.834840,0.255400,1.090240
G,600,BLUE,SUPPORT,1000,7.005000,7,7,7,3522.436000,1207.095000,504,496,0,0,0,0,0,0.720600,0.124000,0.844600
G,600,BLUE,TOP,1000,7.938000,8,8,8,4284.790000,2579.725000,0,993,7,0,0,0,0,0.832560,0.254200,1.086760
G,600,RED,ADC,1000,6.943000,7,7,7,3454.112000,2630.205000,0,992,8,0,0,0,0,0.713160,0.254800,0.967960
G,600,RED,JUNGLE,1000,7.017000,7,7,7,3662.820000,2325.115000,0,1000,0,0,0,0,0,0.722040,0.250000,0.972040
G,600,RED,MID,1000,7.959000,8,8,8,4299.940000,2628.465000,0,994,6,0,0,0,0,0.835080,0.253600,1.088680
G,600,RED,SUPPORT,1000,7.003000,7,7,7,3519.582000,1205.605000,529,471,0,0,0,0,0,0.720360,0.117750,0.838110
G,600,RED,TOP,1000,7.946000,8,8,8,4285.470000,2581.765000,0,995,5,0,0,0,0,0.833520,0.253000,1.086520
G,900,BLUE,ADC,993,8.705942,8,9,9,5160.171198,4018.952669,0,75,918,0,0,0,0,0.924713,0.804683,1.729396
G,900,BLUE,JUNGLE,993,8.994965,9,9,9,5470.181269,3583.041289,0,447,546,0,0,0,0,0.959396,0.579909,1.539305
G,900,BLUE,MID,993,9.912387,10,10,10,6418.590131,4037.522659,0,59,934,0,0,0,0,1.069486,0.814350,1.883837
G,900,BLUE,SUPPORT,993,8.930514,9,9,9,5271.812689,1904.279960,0,993,0,0,0,0,0,0.951662,0.250000,1.201662
G,900,BLUE,TOP,993,9.891239,9,10,10,6408.267875,3956.424975,0,104,889,0,0,0,0,1.066949,0.787160,1.854109
G,900,RED,ADC,993,8.694864,8,9,9,5165.637462,4045.604230,0,66,927,0,0,0,0,0.923384,0.810121,1.733505
G,900,RED,JUNGLE,993,8.991944,9,9,9,5471.057402,3598.907351,0,438,555,0,0,0,0,0.959033,0.585347,1.544381
G,900,RED,MID,993,9.921450,10,10,10,6424.410876,4045.130916,0,59,934,0,0,0,0,1.070574,0.814350,1.884924
G,900,RED,SUPPORT,993,8.910373,9,9,9,5269.242699,1912.603223,0,993,0,0,0,0,0,0.949245,0.250000,1.199245
G,900,RED,TOP,993,9.888218,9,10,10,6408.882175,3971.928499,0,100,893,0,0,0,0,1.066586,0.789577,1.856163
G,END,BLUE,ADC,1000,12.735000,11,13,14,10376.832000,9188.240000,0,0,149,583,252,16,0,1.408200,1.786400,3.194600
G,END,BLUE,JUNGLE,1000,13.169000,12,13,15,11018.790000,8382.530000,0,0,268,572,153,7,0,1.460280,1.585900,3.046180
G,END,BLUE,MID,1000,14.242000,13,14,16,12716.960000,9173.380000,0,0,145,593,239,23,0,1.589040,1.790500,3.379540
G,END,BLUE,SUPPORT,1000,12.861000,11,13,15,10558.442000,5098.630000,0,168,700,131,1,0,0,1.423320,0.855700,2.279020
G,END,BLUE,TOP,1000,14.291000,13,14,16,12789.110000,9062.990000,0,0,155,601,228,16,0,1.594920,1.760000,3.354920
G,END,RED,ADC,1000,12.772000,11,13,14,10436.602000,9269.255000,0,0,155,567,251,27,0,1.412640,1.800500,3.213140
G,END,RED,JUNGLE,1000,13.176000,12,13,15,11026.170000,8435.185000,0,0,267,564,162,7,0,1.461120,1.594800,3.055920
G,END,RED,MID,1000,14.294000,13,14,16,12778.180000,9249.095000,0,0,148,571,256,25,0,1.595280,1.807000,3.402280
G,END,RED,SUPPORT,1000,12.889000,11,13,15,10597.622000,5180.465000,0,165,678,157,0,0,0,1.426680,0.876600,2.303280
G,END,RED,TOP,1000,14.325000,12,14,16,12830.410000,9139.865000,0,0,168,577,238,16,1,1.599000,1.761450,3.360450
