scenario,context,count,bluePower,redPower,signedEdge,absEdge,signedContribution,absContribution,p50,p90,p95,max,positive,negative,zero,clamp,participants,shareAvg,shareP50,shareP90,shareP95,shareMax,shareOverOneRate,levelContribution,itemContribution,itemRatio,levelRatio,goldContribution,sameDirection,oppositeDirection,bothNonzero,goldOnly,itemOnly,both,correlation
B_MIRROR,GENERIC_SKIRMISH,16684,1.638994,1.702995,-0.064001,0.211876,-0.054401,0.180095,0.064600,0.550800,0.686800,3.952500,0.352493,0.474167,0.173340,0,9.632822,0.000614,0.000223,0.001761,0.002226,0.023274,0.000000,0.000664,-0.055064,0.988088,0.011912,0.000000,0.000000,0.000000,0.000000,0,9938,0,0.000000
B_MIRROR,TEAMFIGHT,1162,2.306538,2.393432,-0.086894,0.296145,-0.086894,0.296145,0.184000,0.766667,0.864000,1.395000,0.390706,0.517212,0.092083,0,9.416523,0.004306,0.002410,0.007399,0.010752,0.381935,0.000000,-0.000176,-0.086718,0.997980,0.002020,-4.920284,0.922424,0.077576,0.709983,336,1,825,0.829342
B_MIRROR,OBJECTIVE_FIGHT,538,1.829361,1.904738,-0.075377,0.234436,-0.075377,0.234436,0.120000,0.672000,0.808000,1.331000,0.356877,0.494424,0.148699,0,9.786245,0.006748,0.002948,0.012422,0.022807,0.272727,0.000000,0.001848,-0.077224,0.976634,0.023366,-3.279665,0.923077,0.076923,0.628253,199,0,338,0.861998
B_MIRROR,LATE_GAME_SIEGE,287,2.287657,2.378645,-0.090987,0.276674,-0.090987,0.276674,0.184000,0.672000,0.792000,1.070000,0.421603,0.498258,0.080139,0,9.693380,0.004605,0.002534,0.007434,0.010329,0.168817,0.000000,0.003275,-0.094262,0.966421,0.033579,-4.439826,0.911765,0.088235,0.710801,83,0,204,0.829732
B_MIRROR,BASE_DEFENSE,1070,2.738717,2.822009,-0.083292,0.438174,-0.083292,0.438174,0.398000,0.856000,0.936000,1.588000,0.495327,0.493458,0.011215,0,9.570093,0.003738,0.002953,0.006057,0.008198,0.099323,0.000000,0.011667,-0.094960,0.890578,0.109422,-3.869673,0.958830,0.041170,0.862617,147,0,923,0.899335
C,LANE_COMBAT,2290,0.821218,0.799782,0.021437,0.079463,0.012862,0.047678,0.000000,0.150000,0.222000,0.432000,0.205240,0.162445,0.632314,0,2.660262,0.056939,0.000000,0.141318,0.242570,7.500000,0.006987,-0.000723,0.013585,0.949460,0.050540,0.270251,0.978355,0.021645,0.201747,1790,0,462,0.543768
C,JUNGLE_GANK,2966,0.870923,0.859076,0.011846,0.080702,0.007700,0.052457,0.026000,0.160333,0.201500,0.468000,0.302090,0.245448,0.452461,0,4.703978,0.072394,0.012240,0.093964,0.171626,19.135324,0.009440,0.000158,0.007542,0.979509,0.020491,0.258904,0.864629,0.135371,0.308833,2042,2,916,0.537429
C,COUNTER_GANK,165,0.809192,0.809677,-0.000485,0.072202,-0.000364,0.054152,0.030000,0.152500,0.270000,0.495000,0.266667,0.236364,0.496970,0,4.593939,0.124074,0.011915,0.147541,0.276571,8.624303,0.012121,-0.001273,0.000909,0.416667,0.583333,0.136465,0.936170,0.063830,0.284848,115,0,47,0.584352
C,ROAM,1194,0.829245,0.794803,0.034442,0.121630,0.024109,0.085141,0.071167,0.171500,0.217000,0.633500,0.499162,0.306533,0.194305,0,3.663317,0.081782,0.034613,0.122807,0.245428,12.950000,0.006700,0.005065,0.019044,0.789900,0.210100,0.473489,0.873750,0.126250,0.670017,388,0,800,0.611358
C,GENERIC_SKIRMISH,32178,1.632253,1.620875,0.011378,0.186541,0.009671,0.158560,0.061200,0.469200,0.615400,3.455250,0.414538,0.395581,0.189881,0,9.657281,0.000539,0.000187,0.001552,0.002085,0.028144,0.000000,-0.002948,0.012619,0.810644,0.189356,0.000000,0.000000,0.000000,0.000000,0,18524,0,0.000000
C,TEAMFIGHT,2174,2.313338,2.311419,0.001919,0.268936,0.001919,0.268936,0.168000,0.688000,0.840000,1.696000,0.437443,0.463201,0.099356,0,9.454002,0.003841,0.002146,0.005796,0.007999,0.631579,0.000000,-0.006721,0.008640,0.562454,0.437546,0.783358,0.898374,0.101626,0.678933,698,0,1476,0.843202
C,OBJECTIVE_FIGHT,1047,1.796124,1.780324,0.015800,0.188794,0.015800,0.188794,0.084000,0.552000,0.712000,1.456000,0.438395,0.407832,0.153773,0,9.816619,0.009560,0.002241,0.013358,0.037377,0.923077,0.000000,-0.004109,0.019908,0.828920,0.171080,0.557039,0.894910,0.105090,0.581662,435,0,609,0.849894
C,LATE_GAME_SIEGE,592,2.273979,2.276397,-0.002418,0.270197,-0.002418,0.270197,0.184000,0.672000,0.792000,1.326667,0.437500,0.472973,0.089527,0,9.704392,0.008425,0.002518,0.006705,0.010871,2.285714,0.001689,-0.004338,0.001920,0.306820,0.693180,1.136723,0.922330,0.077670,0.695946,180,0,412,0.844111
C,BASE_DEFENSE,2059,2.699439,2.713251,-0.013812,0.414470,-0.013812,0.414470,0.388000,0.832000,0.904000,1.996000,0.443905,0.522584,0.033511,0,9.587664,0.003916,0.002897,0.005740,0.007681,0.600000,0.000000,-0.012475,-0.001337,0.096814,0.903186,-0.197105,0.954624,0.045376,0.845556,318,0,1741,0.895374
C_MIRROR,LANE_COMBAT,1132,0.804726,0.828737,-0.024011,0.084859,-0.014406,0.050915,0.000000,0.150000,0.255000,0.504000,0.157244,0.224382,0.618375,0,2.636042,0.074196,0.000000,0.172760,0.311616,1.469877,0.022968,-0.000572,-0.013834,0.960265,0.039735,-0.275640,0.966387,0.033613,0.210247,880,0,238,0.498502
C_MIRROR,JUNGLE_GANK,1408,0.843670,0.863352,-0.019683,0.078163,-0.012794,0.050806,0.026000,0.156000,0.208000,0.468000,0.225852,0.305398,0.468750,0,4.663352,0.065694,0.011428,0.093708,0.179620,5.884770,0.008523,-0.001884,-0.010910,0.852778,0.147222,-0.304912,0.881188,0.118812,0.286932,996,2,404,0.504790
C_MIRROR,COUNTER_GANK,82,0.848902,0.848089,0.000813,0.055650,0.000610,0.041738,0.000000,0.125000,0.242500,0.270000,0.182927,0.219512,0.597561,0,4.658537,0.062905,0.000000,0.149818,0.225000,1.674044,0.012195,0.000915,-0.000305,0.250000,0.750000,-0.043140,1.000000,0.000000,0.243902,60,0,20,0.551667
C_MIRROR,ROAM,608,0.805636,0.832113,-0.026478,0.118835,-0.018534,0.083184,0.070000,0.171500,0.217000,0.546000,0.328947,0.465461,0.205592,0,3.615132,0.088795,0.034222,0.129333,0.252683,3.360000,0.011513,-0.001658,-0.016876,0.910550,0.089450,-0.427481,0.867684,0.132316,0.646382,214,0,393,0.628801
C_MIRROR,GENERIC_SKIRMISH,15756,1.632702,1.643959,-0.011257,0.186714,-0.009568,0.158707,0.062900,0.455600,0.601800,4.125900,0.383029,0.429868,0.187103,0,9.641851,0.000546,0.000187,0.001493,0.002024,0.021351,0.000000,0.003388,-0.012957,0.792695,0.207305,0.000000,0.000000,0.000000,0.000000,0,9080,0,0.000000
C_MIRROR,TEAMFIGHT,1069,2.268198,2.306926,-0.038728,0.255701,-0.038728,0.255701,0.144000,0.672000,0.820000,1.591667,0.420954,0.460243,0.118803,0,9.491113,0.005396,0.002175,0.006767,0.011747,0.800000,0.000000,0.002982,-0.041710,0.933272,0.066728,-1.948251,0.887943,0.112057,0.659495,364,0,705,0.834637
C_MIRROR,OBJECTIVE_FIGHT,511,1.806652,1.821356,-0.014704,0.191748,-0.014704,0.191748,0.088000,0.552000,0.696000,1.024000,0.397260,0.459883,0.142857,0,9.816047,0.016506,0.002341,0.012387,0.041406,2.500000,0.001957,0.002755,-0.017459,0.863694,0.136306,-1.020763,0.919732,0.080268,0.585127,212,0,299,0.840565
C_MIRROR,LATE_GAME_SIEGE,274,2.266448,2.294142,-0.027695,0.271030,-0.027695,0.271030,0.184000,0.696000,0.760000,1.096000,0.430657,0.507299,0.062044,0,9.733577,0.004144,0.002536,0.007302,0.010198,0.095170,0.000000,0.003102,-0.030797,0.908487,0.091513,-1.779124,0.930481,0.069519,0.682482,87,0,187,0.818643
C_MIRROR,BASE_DEFENSE,1039,2.709767,2.700103,0.009665,0.410048,0.009665,0.410048,0.376000,0.820000,0.904000,2.504000,0.507218,0.454283,0.038499,0,9.611165,0.004725,0.002920,0.006142,0.007856,0.557576,0.000000,0.009018,0.000646,0.066888,0.933112,-0.342984,0.963345,0.036655,0.840231,166,0,873,0.886139
D,LANE_COMBAT,2320,0.818388,0.813978,0.004409,0.083039,0.002646,0.049823,0.000000,0.150000,0.360000,0.432000,0.200862,0.192241,0.606897,0,2.762069,0.079357,0.000000,0.160394,0.253064,13.089302,0.008621,-0.001893,0.004539,0.705669,0.294331,0.135463,0.935743,0.064257,0.214655,1786,2,498,0.560892
D,JUNGLE_GANK,2836,0.871638,0.862039,0.009599,0.086461,0.006239,0.056200,0.028167,0.195000,0.234000,0.468000,0.291961,0.269394,0.438646,0,4.655148,0.094826,0.013109,0.122135,0.321532,7.727222,0.019041,0.000513,0.005726,0.917718,0.082282,0.084047,0.860814,0.139186,0.329337,1888,0,934,0.563857
D,COUNTER_GANK,176,0.839034,0.845852,-0.006818,0.086307,-0.005114,0.064730,0.030000,0.225000,0.270000,0.540000,0.244318,0.289773,0.465909,0,4.670455,0.101076,0.022026,0.234450,0.387877,3.000000,0.017045,-0.003835,-0.001278,0.250000,0.750000,0.063447,0.931034,0.068966,0.329545,114,1,58,0.653775
D,ROAM,1193,0.839051,0.838730,0.000321,0.120587,0.000225,0.084411,0.057167,0.171500,0.217000,0.633500,0.389774,0.414082,0.196144,0,3.638726,0.209800,0.035136,0.272632,0.542500,29.400000,0.026823,-0.002230,0.002455,0.524008,0.475992,0.021155,0.867188,0.132813,0.643755,425,0,768,0.622911
D,GENERIC_SKIRMISH,32328,1.670377,1.633164,0.037213,0.201315,0.031631,0.171117,0.062900,0.530400,0.663000,4.615500,0.447352,0.370391,0.182257,0,9.633599,0.000589,0.000187,0.001700,0.002165,0.030990,0.000000,0.000255,0.031376,0.991939,0.008061,0.000000,0.000000,0.000000,0.000000,0,18786,0,0.000000
D,TEAMFIGHT,2320,2.361197,2.297484,0.063713,0.301802,0.063713,0.301802,0.192000,0.744000,0.862000,2.105000,0.508621,0.407759,0.083621,0,9.436638,0.009580,0.002467,0.006459,0.009847,12.000000,0.000431,0.002851,0.060862,0.955255,0.044745,2.974323,0.911965,0.088035,0.695259,706,0,1613,0.858308
D,OBJECTIVE_FIGHT,1011,1.827043,1.787453,0.039590,0.205592,0.039590,0.205592,0.096000,0.612000,0.780000,1.486000,0.460930,0.375865,0.163205,0,9.799209,0.043129,0.002268,0.010716,0.029268,24.000000,0.003956,0.001482,0.038108,0.962574,0.037426,1.699001,0.904523,0.095477,0.590504,413,1,597,0.857706
D,LATE_GAME_SIEGE,542,2.260835,2.206441,0.054394,0.265023,0.054394,0.265023,0.160000,0.696000,0.832000,1.366000,0.505535,0.396679,0.097786,0,9.690037,0.003638,0.002384,0.007482,0.010090,0.076033,0.000000,0.002140,0.052254,0.960654,0.039346,3.081587,0.912181,0.087819,0.651292,189,0,353,0.839467
D,BASE_DEFENSE,2284,2.760142,2.679989,0.080154,0.443647,0.080154,0.443647,0.430000,0.856000,0.970000,1.960000,0.541156,0.432574,0.026270,0,9.573555,0.003641,0.002986,0.005863,0.007544,0.210526,0.000000,0.003214,0.076940,0.959906,0.040094,3.453485,0.964304,0.035696,0.858581,323,0,1961,0.897549
D_MIRROR,LANE_COMBAT,1128,0.802704,0.830576,-0.027872,0.081862,-0.016723,0.049117,0.000000,0.150000,0.222000,0.432000,0.154255,0.230496,0.615248,0,2.709220,0.058636,0.000000,0.148099,0.242570,2.193669,0.012411,-0.002043,-0.014681,0.877863,0.122137,-0.188143,0.886957,0.113043,0.203901,882,0,230,0.502440
D_MIRROR,JUNGLE_GANK,1452,0.838850,0.866862,-0.028012,0.081713,-0.018208,0.053113,0.026000,0.195000,0.201500,0.468000,0.223140,0.307163,0.469697,0,4.643251,0.059728,0.010049,0.089650,0.197468,5.200000,0.012397,-0.001629,-0.016578,0.910506,0.089494,-0.156135,0.877273,0.122727,0.303030,1010,0,440,0.574271
D_MIRROR,COUNTER_GANK,64,0.763411,0.790964,-0.027552,0.085260,-0.020664,0.063945,0.045000,0.185000,0.225000,0.495000,0.281250,0.265625,0.453125,0,4.750000,0.128717,0.022993,0.319149,0.515511,2.769231,0.015625,0.000234,-0.020898,0.988909,0.011091,-0.102930,0.952381,0.047619,0.328125,41,0,21,0.592132
D_MIRROR,ROAM,601,0.847166,0.834412,0.012754,0.124800,0.008928,0.087360,0.058333,0.171500,0.252000,0.591500,0.449251,0.356073,0.194676,0,3.678869,0.218234,0.032158,0.373333,0.690667,12.950000,0.033278,0.005288,0.003640,0.407697,0.592303,0.079014,0.870000,0.130000,0.665557,199,0,400,0.648457
D_MIRROR,GENERIC_SKIRMISH,16652,1.657156,1.702032,-0.044876,0.207323,-0.038145,0.176225,0.062900,0.535500,0.676600,4.322250,0.359236,0.457603,0.183161,0,9.621307,0.000612,0.000209,0.001700,0.002195,0.018417,0.000000,-0.001673,-0.036472,0.956137,0.043863,0.000000,0.000000,0.000000,0.000000,0,9806,0,0.000000
D_MIRROR,TEAMFIGHT,1136,2.321911,2.394139,-0.072229,0.285197,-0.072229,0.285197,0.172000,0.720000,0.856000,1.636000,0.396127,0.500880,0.102993,0,9.432218,0.012793,0.002311,0.006533,0.010118,7.200000,0.001761,-0.003954,-0.068275,0.945254,0.054746,-3.038125,0.910804,0.089196,0.700704,339,0,796,0.847804
