scenario,context,count,bluePower,redPower,signedEdge,absEdge,signedContribution,absContribution,p50,p90,p95,max,positive,negative,zero,clamp,participants,shareAvg,shareP50,shareP90,shareP95,shareMax,shareOverOneRate,levelContribution,itemContribution,itemRatio,levelRatio,goldContribution,sameDirection,oppositeDirection,bothNonzero,goldOnly,itemOnly,both,correlation
E_MIRROR,TEAMFIGHT,1214,2.300268,2.361263,-0.060995,0.299276,-0.060995,0.299276,0.184000,0.732000,0.856000,1.475000,0.375618,0.531301,0.093081,0,9.442339,0.004960,0.002389,0.007196,0.010663,0.423529,0.000000,-0.011135,-0.049860,0.817443,0.182557,-2.168756,0.914894,0.085106,0.696870,368,0,846,0.836059
E_MIRROR,OBJECTIVE_FIGHT,482,1.792118,1.835070,-0.042952,0.200447,-0.042952,0.200447,0.096000,0.640000,0.736000,1.120000,0.392116,0.456432,0.151452,0,9.819502,0.016663,0.002280,0.011642,0.045122,1.333333,0.004149,-0.007154,-0.035799,0.833454,0.166546,-1.348714,0.914384,0.085616,0.605809,190,0,292,0.829442
E_MIRROR,LATE_GAME_SIEGE,249,2.324561,2.370315,-0.045754,0.271880,-0.045754,0.271880,0.168000,0.696000,0.810000,1.000000,0.377510,0.518072,0.104418,0,9.678715,0.004028,0.002612,0.007402,0.010714,0.111258,0.000000,-0.006249,-0.039505,0.863421,0.136579,-1.756104,0.923529,0.076471,0.682731,79,0,170,0.824187
E_MIRROR,BASE_DEFENSE,1105,2.711710,2.765807,-0.054097,0.425951,-0.054097,0.425951,0.392000,0.856000,0.930000,1.602667,0.440724,0.533032,0.026244,0,9.593665,0.004814,0.003005,0.006073,0.008213,0.549020,0.000000,-0.010375,-0.043722,0.808222,0.191778,-2.103882,0.952482,0.047518,0.857014,158,0,947,0.886891
F,LANE_COMBAT,2970,0.847650,0.778818,0.068832,0.097889,0.041299,0.058733,0.000000,0.180000,0.360000,0.504000,0.336700,0.088215,0.575084,0,2.769024,0.004560,0.000000,0.014439,0.023832,0.050719,0.000000,0.009552,0.031747,0.768723,0.231277,0.621936,0.977208,0.022792,0.236364,2158,0,702,0.595092
F,JUNGLE_GANK,3174,0.892451,0.820854,0.071597,0.103072,0.046538,0.066997,0.039000,0.195000,0.260000,0.468000,0.451796,0.148078,0.400126,0,4.807183,0.014032,0.004413,0.040590,0.058979,1.321262,0.000630,0.007782,0.038756,0.832783,0.167217,0.625824,0.916096,0.083904,0.367990,1988,4,1168,0.597458
F,COUNTER_GANK,205,0.938366,0.851065,0.087301,0.112894,0.065476,0.084671,0.045000,0.270000,0.315000,0.540000,0.468293,0.126829,0.404878,0,4.868293,0.010471,0.005381,0.030126,0.039083,0.065954,0.000000,0.010902,0.054573,0.833489,0.166511,0.646789,0.961039,0.038961,0.375610,125,1,77,0.673458
F,ROAM,1678,0.870050,0.818285,0.051765,0.142049,0.036235,0.099434,0.085167,0.210000,0.269500,0.633500,0.514899,0.327175,0.157926,0,3.744934,0.012784,0.009198,0.027412,0.035169,0.179406,0.000000,0.008769,0.027467,0.758006,0.241994,0.373048,0.870453,0.129547,0.671633,544,1,1127,0.652371
F,GENERIC_SKIRMISH,29467,1.647702,1.434549,0.213153,0.240654,0.181180,0.204556,0.084150,0.591600,0.727600,4.023900,0.720738,0.113042,0.166220,0,9.680456,0.000752,0.000262,0.001983,0.002869,0.033929,0.000000,0.033165,0.148015,0.816952,0.183048,0.000000,0.000000,0.000000,0.000000,0,18213,0,0.000000
F,TEAMFIGHT,1944,2.377688,2.073973,0.303716,0.340288,0.303716,0.340288,0.232000,0.834000,0.904000,1.630000,0.828189,0.096193,0.075617,0,9.511317,0.002888,0.002089,0.004717,0.006123,0.535714,0.000000,0.050776,0.252940,0.832818,0.167182,12.716924,0.948625,0.051375,0.710905,562,0,1382,0.779855
F,OBJECTIVE_FIGHT,531,1.938318,1.726965,0.211353,0.251930,0.211353,0.251930,0.122000,0.720000,0.856000,1.268000,0.715631,0.165725,0.118644,0,9.838041,0.003342,0.002155,0.006269,0.008935,0.085380,0.000000,0.033695,0.177659,0.840575,0.159425,8.045895,0.936416,0.063584,0.651601,185,0,346,0.827133
F,LATE_GAME_SIEGE,371,2.310472,2.026719,0.283753,0.309650,0.283753,0.309650,0.208000,0.748000,0.856000,1.225000,0.819407,0.072776,0.107817,0,9.725067,0.002767,0.002013,0.005362,0.006982,0.075556,0.000000,0.048798,0.234955,0.828027,0.171973,11.954420,0.984496,0.015504,0.695418,113,0,258,0.754483
F,BASE_DEFENSE,1835,2.739987,2.279476,0.460512,0.506505,0.460512,0.506505,0.512000,0.902000,1.028000,1.650000,0.900817,0.079019,0.020163,0,9.660490,0.003223,0.002928,0.005032,0.006141,0.191549,0.000000,0.069042,0.391470,0.850075,0.149925,16.518866,0.973734,0.026266,0.871390,236,0,1599,0.815722
F_MIRROR,LANE_COMBAT,1466,0.767046,0.842115,-0.075068,0.101862,-0.045041,0.061117,0.000000,0.180000,0.360000,0.432000,0.081855,0.342428,0.575716,0,2.766712,0.004688,0.000000,0.014629,0.024673,0.033832,0.000000,-0.011296,-0.033745,0.749205,0.250795,-0.617889,0.967742,0.032258,0.253752,1058,0,372,0.613735
F_MIRROR,JUNGLE_GANK,1640,0.833236,0.916022,-0.082787,0.105234,-0.053811,0.068402,0.039000,0.201500,0.260000,0.468000,0.100000,0.492683,0.407317,0,4.770732,0.012588,0.004489,0.032736,0.051504,0.456683,0.000000,-0.010987,-0.042825,0.795831,0.204169,-0.705432,0.955272,0.044728,0.381707,998,2,626,0.605905
F_MIRROR,COUNTER_GANK,92,0.841739,0.937373,-0.095634,0.117228,-0.071726,0.087921,0.045000,0.270000,0.362500,0.540000,0.097826,0.467391,0.434783,0,4.673913,0.010784,0.005564,0.030700,0.052709,0.059474,0.000000,-0.013370,-0.058356,0.813601,0.186399,-0.692301,1.000000,0.000000,0.391304,55,0,36,0.678512
F_MIRROR,ROAM,806,0.844870,0.882107,-0.037237,0.141791,-0.026066,0.099254,0.086333,0.210000,0.252000,0.549500,0.375931,0.491315,0.132754,0,3.655087,0.012827,0.009669,0.026571,0.035104,0.090935,0.000000,-0.004325,-0.021741,0.834074,0.165926,-0.264645,0.864312,0.135688,0.667494,264,0,538,0.634764
F_MIRROR,GENERIC_SKIRMISH,14806,1.436946,1.636742,-0.199797,0.227606,-0.169827,0.193465,0.085000,0.571200,0.707200,3.483300,0.117587,0.710185,0.172227,0,9.696069,0.000715,0.000262,0.001884,0.002707,0.030901,0.000000,-0.029635,-0.140192,0.825500,0.174500,0.000000,0.000000,0.000000,0.000000,0,9076,0,0.000000
F_MIRROR,TEAMFIGHT,936,2.070916,2.404728,-0.333813,0.358680,-0.333813,0.358680,0.264000,0.856000,0.920000,1.520000,0.065171,0.871795,0.063034,0,9.492521,0.003415,0.002308,0.004985,0.005977,0.571429,0.000000,-0.053453,-0.280360,0.839871,0.160129,-13.087350,0.969914,0.030086,0.745726,238,0,698,0.775741
F_MIRROR,OBJECTIVE_FIGHT,251,1.721756,1.910713,-0.188958,0.249260,-0.188958,0.249260,0.120000,0.696000,0.880000,1.233333,0.183267,0.685259,0.131474,0,9.828685,0.004024,0.002206,0.006613,0.008794,0.256962,0.000000,-0.026494,-0.162463,0.859788,0.140212,-7.215179,0.906250,0.093750,0.637450,90,1,160,0.847526
F_MIRROR,LATE_GAME_SIEGE,205,2.075932,2.332405,-0.256473,0.292951,-0.256473,0.292951,0.256000,0.672000,0.760000,0.960000,0.097561,0.843902,0.058537,0,9.731707,0.003008,0.002255,0.004675,0.006077,0.115663,0.000000,-0.037424,-0.219049,0.854081,0.145919,-11.060683,0.966887,0.033113,0.736585,54,0,151,0.729639
F_MIRROR,BASE_DEFENSE,853,2.320329,2.777527,-0.457198,0.515361,-0.457198,0.515361,0.528000,0.898000,1.036000,1.665000,0.085580,0.902696,0.011723,0,9.656506,0.003192,0.003066,0.005331,0.006419,0.026908,0.000000,-0.069320,-0.387878,0.848381,0.151619,-16.351043,0.981555,0.018445,0.889801,94,0,759,0.822875
G,LANE_COMBAT,2194,0.827429,0.826595,0.000834,0.090980,0.000500,0.054588,0.000000,0.180000,0.360000,0.432000,0.196901,0.194166,0.608933,0,2.705561,0.093954,0.000000,0.229132,0.391420,9.227624,0.010027,-0.000197,0.000697,0.779817,0.220183,0.006415,0.978166,0.021834,0.208751,1672,0,458,0.580366
G,JUNGLE_GANK,2824,0.867541,0.869950,-0.002409,0.081651,-0.001566,0.053073,0.026000,0.162500,0.234000,0.468000,0.278329,0.274079,0.447592,0,4.729462,0.084873,0.014791,0.110118,0.233635,16.871827,0.014164,0.000157,-0.001722,0.916701,0.083299,-0.012630,0.884793,0.115207,0.307365,1942,0,868,0.572359
G,COUNTER_GANK,155,0.867538,0.870860,-0.003323,0.087581,-0.002492,0.065685,0.030000,0.225000,0.300000,0.540000,0.264516,0.238710,0.496774,0,4.645161,0.145621,0.012238,0.152835,0.292683,5.550000,0.025806,-0.000677,-0.001815,0.728155,0.271845,-0.024462,0.940000,0.060000,0.322581,99,1,50,0.663067
G,ROAM,1136,0.869429,0.867406,0.002023,0.131923,0.001416,0.092346,0.080500,0.196000,0.252000,0.633500,0.421655,0.386444,0.191901,0,3.651408,0.236469,0.040052,0.345421,0.690667,25.200000,0.036972,0.001072,0.000344,0.242930,0.757070,0.035200,0.886945,0.113055,0.654049,388,1,743,0.647605
G,GENERIC_SKIRMISH,32939,1.654656,1.660339,-0.005682,0.196908,-0.004830,0.167372,0.061200,0.518500,0.663000,3.870900,0.404870,0.405932,0.189198,0,9.643705,0.000574,0.000187,0.001670,0.002165,0.025677,0.000000,-0.000838,-0.003992,0.826443,0.173557,0.000000,0.000000,0.000000,0.000000,0,18797,0,0.000000
G,TEAMFIGHT,2230,2.328662,2.332468,-0.003806,0.291126,-0.003806,0.291126,0.184000,0.744000,0.856000,1.480000,0.454709,0.452915,0.092377,0,9.432287,0.010474,0.002327,0.006656,0.010084,9.600000,0.001345,-0.000623,-0.003182,0.836214,0.163786,-0.253596,0.904824,0.095176,0.687892,694,1,1534,0.841027
G,OBJECTIVE_FIGHT,994,1.816814,1.829519,-0.012706,0.201899,-0.012706,0.201899,0.096000,0.624000,0.744000,1.256000,0.423541,0.431590,0.144869,0,9.796781,0.017173,0.002397,0.011712,0.050000,2.400000,0.004024,-0.001907,-0.010798,0.849873,0.150127,-0.351992,0.910624,0.089376,0.596579,397,2,593,0.849877
G,LATE_GAME_SIEGE,574,2.335483,2.349510,-0.014028,0.280582,-0.014028,0.280582,0.192000,0.696000,0.835000,1.144000,0.423345,0.477352,0.099303,0,9.682927,0.003908,0.002463,0.006828,0.009754,0.177778,0.000000,-0.002983,-0.011045,0.787382,0.212618,-0.345958,0.925187,0.074813,0.698606,173,0,401,0.847374
G,BASE_DEFENSE,2206,2.745329,2.742245,0.003084,0.439913,0.003084,0.439913,0.426000,0.856000,0.952000,1.684000,0.475975,0.487307,0.036718,0,9.615594,0.004210,0.002965,0.006068,0.007933,0.968421,0.000000,0.000131,0.002953,0.957666,0.042334,-0.301668,0.959682,0.040318,0.854488,321,0,1885,0.894026
